rt_name,camsol_score,camsol_mean_profile,camsol_min_profile,camsol_frac_poor,camsol_frac_good,sasa_total,sasa_avg,sasa_high_pct,sasa_medium_pct,sasa_low_pct,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,qg_motif_found,sp_motif_found,sp_s_is_helix,sp_p_is_helix,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase
Ec67-RT,0.289514,0.0183430253530876,-2.6127613856108383,0.151877133105802,0.167235494880546,2385.24,119.26,30.0,40.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.848,0.6292,0.204,0.6666,0.6729,0.5959,0.848,0.5518,0.7615,0.5901
Er-RT,0.887788,0.071069550468345,-2.8206143002313455,0.136150234741784,0.1619718309859155,2093.95,104.7,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271
FENV1-RT,0.837728,0.0200004879336852,-2.2231776370807963,0.128935532233883,0.128935532233883,2426.83,121.34,25.0,45.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794,0.8878,0.739,0.9754,0.9794,0.9578,0.7342,0.5828,0.66,0.544
FoxC-RT,0.368092,0.0084424370976138,-3.0739858902467203,0.150190114068441,0.1787072243346007,2394.43,119.72,30.0,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.785,0.572,0.167,0.6369,0.6153,0.579,0.7462,0.4727,0.785,0.6137
FuRT-Cas1-RT,1.013978,-0.0395763884772763,-2.139621127499777,0.1708333333333333,0.1208333333333333,2251.22,112.56,15.0,65.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9591,0.8716,0.315,0.7017,0.6888,0.7105,0.8485,0.674,0.9591,0.807
GALV-RT,0.495113,-0.0043717513441347,-2.659722670212874,0.1415929203539823,0.1327433628318584,2692.4,134.62,35.0,65.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.8638,0.709,0.9775,0.98,0.958,0.771,0.5934,0.6547,0.5284
Gate-RT,-0.152451,-0.1976921831561702,-2.4445311807163583,0.1720841300191204,0.0936902485659655,2751.42,137.57,40.0,45.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7963,0.5471,0.083,0.7896,0.7963,0.7584,0.5797,0.4887,0.4991,0.5086
GroupII_CLA-RT,0.969733,-0.023232820290211,-2.1139481908144537,0.1176470588235294,0.0849673202614379,2449.62,122.48,30.0,45.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8896,0.7175,0.274,0.6498,0.6519,0.3071,0.8492,0.6637,0.8896,0.7855
Gs-RT,1.319949,0.1175520007456669,-2.107826732720429,0.0954653937947494,0.1909307875894988,2093.95,104.7,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271
Gypsy-RT,0.272462,-0.0408916708185722,-2.8621142277216176,0.1599147121535181,0.1257995735607676,2864.48,143.22,40.0,55.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9165,0.7387,0.234,0.9165,0.893,0.87,0.6704,0.578,0.666,0.5496
HIVpol+MMLVRNaseH_RT,0.841852,0.0866841430989605,-2.4818391721613,0.1344,0.1888,2670.77,133.54,30.0,60.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8619,0.7047,0.245,0.8552,0.8619,0.7543,0.6268,0.7273,0.6229,0.6296
IPMA-RT,-1.285191,-0.3597042280921501,-2.4083679814854846,0.2495636998254799,0.06282722513089,2719.59,135.98,30.0,60.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.932,0.7586,0.322,0.932,0.9229,0.8176,0.6575,0.6825,0.6621,0.5487
KORV-RT,0.49773,0.0121720335476781,-2.5828392078734397,0.1386430678466076,0.140117994100295,2704.5,135.22,35.0,60.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9793,0.8711,0.725,0.9763,0.9793,0.9544,0.7787,0.5922,0.6573,0.5441
Line1-RT,0.999437,0.0860586526669623,-2.5030443803744538,0.1201456310679611,0.1783980582524272,,,,,,,,,,,,,,,,,,,,,,,
LtrA-RT,0.891731,0.0622848518671122,-2.949344081717167,0.12876254180602,0.1722408026755852,2211.28,110.56,10.0,65.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8714,0.648,0.236,0.6891,0.6958,0.5848,0.8299,0.4786,0.8714,0.7302
MMLV-RT,0.780471,-0.0015942091589795,-2.3109081976921595,0.1152141802067946,0.1344165435745938,2761.38,138.07,35.0,60.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9843,0.884,0.972,0.9792,0.9843,0.9615,0.71,0.5897,0.6592,0.491
MMTV-RT,-0.568116,-0.2082233003125475,-3.0596754288372043,0.1870860927152318,0.0794701986754966,2682.2,134.11,45.0,30.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.867,0.707,0.248,0.8624,0.867,0.7277,0.6995,0.6603,0.5597,0.5464
MPMV-RT,-1.119678,-0.3214622198161113,-2.552058834662642,0.21996879875195,0.06396255850234,2339.04,116.95,25.0,55.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9226,0.7428,0.289,0.9226,0.9133,0.8448,0.6907,0.6666,0.6095,0.5617
Med-CasRT,1.259983,0.0777266675064533,-2.567975142159945,0.1286173633440514,0.1607717041800643,2901.49,145.07,45.0,50.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9118,0.7886,0.274,0.7043,0.699,0.6731,0.8261,0.5437,0.9118,0.7207
Mx65-RT,1.389092,0.2210060311878391,-2.3332915239220036,0.1384976525821596,0.2535211267605634,2435.56,121.78,25.0,40.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9106,0.7119,0.255,0.6755,0.671,0.6691,0.9106,0.4551,0.7996,0.5511
Ne144-RT,1.948546,0.3626307209518149,-2.508145212270222,0.1052631578947368,0.2943469785575048,2518.62,125.93,35.0,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8742,0.6733,0.292,0.7101,0.7142,0.5603,0.8742,0.512,0.7517,0.655
Ngaro-RT,-1.202845,-0.4064061194521866,-2.453204027071756,0.2440087145969499,0.0479302832244008,2652.07,132.6,40.0,55.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8599,0.6699,0.172,0.852,0.8599,0.6979,0.7047,0.6527,0.7273,0.5475
PERV-RT,0.296968,-0.0849200504250982,-2.257609250852348,0.1499250374812593,0.0974512743628185,2980.71,149.04,50.0,50.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9791,0.8628,0.752,0.9757,0.9791,0.9562,0.7661,0.5978,0.657,0.5005
POL11ERV-RT,-0.78526,-0.2131574770887793,-2.677023660316741,0.2259194395796847,0.1068301225919439,3056.33,152.82,40.0,55.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9171,0.7463,0.248,0.9171,0.9116,0.8451,0.6914,0.7431,0.6588,0.5546
ROSE-CRISPR-RT,1.193858,0.0664056954969164,-2.453431980552946,0.1076233183856502,0.1816143497757847,2379.52,118.98,25.0,65.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8861,0.74,0.188,0.6718,0.6757,0.5978,0.8,0.4566,0.8861,0.4971
RSVSB-RT,-0.799422,-0.2700217902649515,-2.454570270016589,0.2044728434504792,0.0654952076677316,2417.8,120.89,15.0,55.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9329,0.7687,0.31,0.9329,0.9295,0.8312,0.6566,0.6596,0.5919,0.3041
Retron86-RT,0.578626,-0.0895273423145542,-2.111644123344586,0.1755485893416928,0.1379310344827586,2169.38,108.47,30.0,45.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9169,0.847,0.955,0.6829,0.6894,0.6944,0.9169,0.5603,0.822,0.7376
Rs-RT,0.522281,-0.1422029381352836,-2.010577399862122,0.1780821917808219,0.1164383561643835,2298.33,114.92,25.0,45.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9421,0.7451,0.24,0.6578,0.6525,0.5647,0.8484,0.634,0.9421,0.7895
SEN1-RT,0.802754,-0.0560755220337992,-2.766597482087771,0.1516129032258064,0.1064516129032258,1959.47,97.97,10.0,50.0,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9607,0.8275,0.455,0.7203,0.6796,0.7288,0.9607,0.568,0.8146,0.7039
SRV2-RT,-1.145563,-0.3548269076108349,-2.3546420465198823,0.2308892355694227,0.0577223088923556,2446.13,122.31,25.0,60.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9159,0.7332,0.289,0.9159,0.9079,0.8464,0.6448,0.6714,0.6053,0.5634
Sau1-RT,1.984723,0.3361773386307412,-2.3844753651845663,0.0981210855949895,0.2526096033402922,2627.87,131.39,35.0,55.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8713,0.6619,0.276,0.7073,0.7071,0.7135,0.8713,0.5484,0.7284,0.5584
TCDM_11122-RT,0.022037,-0.0399861589180822,-3.3470321656337445,0.1759868421052631,0.1513157894736842,2637.07,131.85,30.0,65.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8391,0.4816,0.095,0.6797,0.6795,0.6047,0.8391,0.4806,0.832,0.7207
Tel4c-RT,1.587499,0.2242293527796836,-2.637328204541357,0.0909090909090909,0.2192513368983957,2768.03,138.4,30.0,65.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8699,0.6777,0.215,0.689,0.684,0.5632,0.8161,0.5836,0.8699,0.7038
Tf1-RT,0.758089,0.0134524002256339,-2.2341633134410817,0.1425742574257425,0.1346534653465346,2879.63,143.98,50.0,45.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9132,0.7019,0.217,0.9132,0.8958,0.8981,0.7938,0.6078,0.672,0.4754
Thr-RT,0.345482,-0.0167148173143658,-2.324550345952633,0.1357615894039735,0.1341059602649006,2424.94,121.25,10.0,75.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7625,0.4921,0.072,0.6362,0.6363,0.5438,0.7625,0.4164,0.7468,0.6904
Ty1B-RT,0.953931,0.121471365819174,-3.035240559929637,0.1301684532924961,0.1914241960183767,2744.89,137.24,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8077,0.4917,0.083,0.7986,0.8049,0.8077,0.6528,0.4835,0.5322,0.5155
Ty3-RT,0.551809,-0.0290596181802472,-2.426862866370952,0.1338912133891213,0.1443514644351464,2676.12,133.81,35.0,60.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.906,0.7049,0.204,0.906,0.9044,0.8787,0.667,0.7201,0.6068,0.4869
Tyrosinerecomb-RT,-0.967489,-0.2857481729249869,-2.702579748184631,0.2092257001647446,0.0658978583196046,2476.3,123.81,35.0,55.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.878,0.7204,0.178,0.8685,0.878,0.7418,0.7077,0.6771,0.6747,0.5371
Vc95-RT,0.628979,-0.1361006491654145,-2.113778863876852,0.1624203821656051,0.1114649681528662,2170.34,108.52,10.0,65.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9748,0.8496,0.457,0.6876,0.6888,0.7294,0.9748,0.5663,0.8172,0.6965
Vp96-RT,0.618327,-0.1197288620301856,-2.138231745790734,0.1634615384615384,0.1153846153846153,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9785,0.8625,0.579,0.7162,0.6835,0.728,0.9785,0.5619,0.7987,0.6841
WDSV-RT,-1.012724,-0.255550315921854,-2.743554822411587,0.2280701754385964,0.1096491228070175,3075.41,153.77,60.0,40.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9522,0.8283,0.391,0.9522,0.9358,0.921,0.8189,0.6012,0.5976,0.5488
WMSV-RT,0.463192,-0.008411465831943,-2.659722670212874,0.1413690476190476,0.119047619047619,2709.67,135.48,35.0,65.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9792,0.8646,0.725,0.9768,0.9792,0.9608,0.7744,0.5934,0.6557,0.5218
"retronE,coli-RT",0.573197,-0.0914389860794546,-2.111644123344586,0.1711711711711711,0.1321321321321321,2349.18,117.46,30.0,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9178,0.8425,0.955,0.6999,0.6897,0.7214,0.9178,0.5653,0.8224,0.7375
